Balance (Global),Close price (Global),Close time (Global),Comment (Global),Comm/Swap (Global),Drawdown (Global),MAE (Global),MFE (Global),Open price (Global),Open time (Global),Order (Global),% Drawdown (Global),Profit/Loss (Global),Sample type (Global),Size (Global),Stop Loss (Global),Strategy name (Global),Symbol (Global),Ticket (Global),Time in trade (Global),Type (Global)
37.06,1.6078,02.01.2007 02:19:58,tp 1.60780,0.0,-0.0,0.0,0.0,1.6089,02.01.2007 02:05:00,1,-0.0,37.06,IS,0.41,0.0,Phase3-EA-SA2v2-EURCHF-M5-43,EURCHFMT4,2,14m 58s,Sell
112.66,233.08,02.01.2007 03:34:58,tp 233.080,0.0,-0.0,0.0,0.0,233.47,02.01.2007 02:30:00,2,-0.0,75.6,IS,0.23,0.0,Phase3-EA-S4v1-GBPJPY-M5-194,GBPJPYMT4,2,1h 4m,Sell
30.53,1.2146,02.01.2007 06:45:00,,0.0,-82.13000000000466,0.0,0.0,1.21632,02.01.2007 02:30:00,3,-0.09114146669292045,-82.13,IS,0.58,0.0,Phase3-EA-SA2v2-USDCHF-M15-107,USDCHFMT4,2,4h 15m,Buy
27.8,118.82,02.01.2007 22:00:00,,0.0,-84.86000000000058,0.0,0.0,118832,02.01.2007 18:15:00,4,-0.09417100771412205,-2.73,IS,0.27,0.0,Phase3-EA-S1v2-USDJPY-M15-0,USDJPYMT4,2,3h 45m,Buy
19.53,1.21312,03.01.2007 03:00:00,,-2.53,-93.13000000000466,0.0,0.0,1213,02.01.2007 22:45:00,5,-0.10334840853660812,-8.27,IS,0.58,0.0,Phase3-EA-SA2v2-USDCHF-M15-107,USDCHFMT4,4,4h 15m,Sell
59.76,119.46,03.01.2007 18:15:00,,0.0,-52.90000000000873,0.0,0.0,119282,03.01.2007 18:00:00,6,-0.058704293048289474,40.23,IS,0.27,0.0,Phase3-EA-S1v2-USDJPY-M15-0,USDJPYMT4,4,15m 0s,Buy
57.05,119.45,03.01.2007 18:30:00,,0.0,-55.610000000015134,0.0,0.0,119462,03.01.2007 18:15:00,7,-0.0617116396297869,-2.71,IS,0.27,0.0,Phase3-EA-S1v2-USDJPY-M15-0,USDJPYMT4,6,15m 0s,Buy
93.79,1.6153,03.01.2007 21:19:57,tp 1.61530,0.0,-18.870000000009895,0.0,0.0,1.6164,03.01.2007 20:45:00,8,-0.02094045387186428,36.74,IS,0.41,0.0,Phase3-EA-SA2v2-EURCHF-M5-43,EURCHFMT4,4,34m 57s,Sell
48.54,1.2253,04.01.2007 02:45:00,,-1.7,-64.1200000000099,0.0,0.0,1.22622,03.01.2007 22:30:00,9,-0.07115537372885218,-45.25,IS,0.58,0.0,Phase3-EA-SA2v2-USDCHF-M15-107,USDCHFMT4,6,4h 15m,Buy
24.86,232.68,04.01.2007 04:30:00,,-2.08,-87.80000000000291,0.0,0.0,232792,03.01.2007 23:05:00,10,-0.09743359035234661,-23.68,IS,0.23,0.0,Phase3-EA-S4v1-GBPJPY-M5-194,GBPJPYMT4,4,5h 25m,Buy
6.6,119.35,04.01.2007 06:15:00,,-1.97,-106.05999999999767,0.0,0.0,119422,03.01.2007 22:45:00,11,-0.11769711381286233,-18.26,IS,0.27,0.0,Phase3-EA-S1v2-USDJPY-M15-0,USDJPYMT4,8,7h 30m,Buy
-6.52,1614,04.01.2007 06:40:00,,-2.41,-119.17999999999302,0.0,0.0,1.61432,03.01.2007 22:20:00,12,-0.1322566662664192,-13.12,IS,0.41,0.0,Phase3-EA-SA2v2-EURCHF-M5-43,EURCHFMT4,6,8h 20m,Buy
-1.52,1.6137,04.01.2007 11:00:00,,0.0,-114.17999999999302,0.0,0.0,1.61352,04.01.2007 02:15:00,13,-0.12670805633747023,5.0,IS,0.34,0.0,Phase3-EA-S4v1-EURCHF-M15-221,EURCHFMT4,2,8h 45m,Buy
136.74,230.92,05.01.2007 02:59:58,tp 230.920,-1.75,-0.0,0.0,0.0,232.77,03.01.2007 23:00:00,14,-0.0,138.26,IS,0.09,0.0,Phase3-EA-B1v1-GBPJPY-M30-1,GBPJPYMT4,2,1d 3h 59m,Sell
-18.9,230692,05.01.2007 03:24:58,sl 230.692,-0.7,-155.63999999999942,0.0,0.0,231492,04.01.2007 23:05:00,15,-0.17267098854473703,-155.64,IS,0.23,0.0,Phase3-EA-S4v1-GBPJPY-M5-194,GBPJPYMT4,6,4h 19m,Buy
16.06,1.6117,05.01.2007 04:09:58,tp 1.61170,-1.66,-120.67999999999302,0.0,0.0,1.6128,04.01.2007 20:40:00,16,-0.13388547222807592,34.96,IS,0.41,0.0,Phase3-EA-SA2v2-EURCHF-M5-43,EURCHFMT4,8,7h 29m,Sell
-20.44,1609,05.01.2007 15:15:00,,0.0,-157.17999999999302,0.0,0.0,1.61032,05.01.2007 06:30:00,17,-0.17437950385158482,-36.5,IS,0.34,0.0,Phase3-EA-S4v1-EURCHF-M15-221,EURCHFMT4,4,8h 45m,Buy
-12.55,1.2356,08.01.2007 02:45:00,,-0.56,-149.2899999999936,0.0,0.0,1.23542,05.01.2007 22:30:00,18,-0.16562613646776395,7.89,IS,0.58,0.0,Phase3-EA-SA2v2-USDCHF-M15-107,USDCHFMT4,8,2d 4h 15m,Buy
-27.28,1.6066,08.01.2007 06:35:00,,-0.8,-164.01999999998952,0.0,0.0,1.60702,05.01.2007 22:15:00,19,-0.18196797443527413,-14.73,IS,0.41,0.0,Phase3-EA-SA2v2-EURCHF-M5-43,EURCHFMT4,10,2d 8h 20m,Buy
-70.47,228.33,08.01.2007 08:55:00,,0.0,-207.20999999999185,0.0,0.0,228552,08.01.2007 03:30:00,20,-0.229884062813889,-43.19,IS,0.23,0.0,Phase3-EA-S4v1-GBPJPY-M5-194,GBPJPYMT4,8,5h 25m,Buy
-133.17,118.37,08.01.2007 13:30:00,,-0.66,-269.90999999998894,0.0,0.0,118642,05.01.2007 22:30:00,21,-0.29944504316440657,-62.7,IS,0.27,0.0,Phase3-EA-S1v2-USDJPY-M15-0,USDJPYMT4,10,2d 15h 0m,Buy
-175.17,1.93002,08.01.2007 16:59:57,sl 1.93002,0.0,-311.90999999998894,0.0,0.0,1.93302,08.01.2007 11:30:00,22,-0.3460409151695401,-42.0,IS,0.14,0.0,Phase3-EA-B1v1-GBPUSD-M30-14,GBPUSDMT4,2,5h 29m,Buy
-226.53,229.49,08.01.2007 18:29:58,sl 229.490,-0.44,-363.2699999999895,0.0,0.0,228.82,05.01.2007 19:00:00,23,-0.40302101007867547,-51.36,IS,0.09,0.0,Phase3-EA-B1v1-GBPJPY-M30-1,GBPJPYMT4,4,2d 23h 29m,Sell
